"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
55,"State Senator 24th Legislative District - D*","Suzanne Glowiak","D",3476,100.00,143645,110696,216,216,"0","0"
56,"State Senator 24th Legislative District - R*","Dennis M. Reboletti","R",10682,41.68,143645,110696,216,216,"0","0"
57,"State Senator 24th Legislative District - R*","Chris Nybo","R",14949,58.32,143645,110696,216,216,"0","0"
58,"State Senator 39th Legislative District - D*","Don Harmon","D",575,74.19,19540,110696,28,28,"0","0"
59,"State Senator 39th Legislative District - D*","Bob Galhotra","D",200,25.81,19540,110696,28,28,"0","0"
60,"State Senator 42nd Legislative District - D*","Linda Holmes","D",530,100.00,23985,110696,26,26,"0","0"
61,"Representative General Assembly 41st District - D*","Ed Agustin","D",1073,100.00,50048,110696,63,63,"0","0"
62,"Representative General Assembly 41st District - R*","Grant Wehrli","R",6138,100.00,50048,110696,63,63,"0","0"
63,"Representative General Assembly 42nd District - R","Adam Johnson","R",4932,37.08,74811,110696,100,100,"0","0"
64,"Representative General Assembly 42nd District - R","Jeanne M. Ives","R",8370,62.92,74811,110696,100,100,"0","0"
65,"Representative General Assembly 45th District - D*","Jenny M. Burke","D",1621,100.00,63851,110696,79,79,"0","0"
66,"Representative General Assembly 45th District - R*","TJ Lewis","R",748,8.07,63851,110696,79,79,"0","0"
67,"Representative General Assembly 45th District - R*","Christine Jennifer Winger","R",3492,37.69,63851,110696,79,79,"0","0"
68,"Representative General Assembly 45th District - R*","Seth Lewis","R",3020,32.60,63851,110696,79,79,"0","0"
69,"Representative General Assembly 45th District - R*","Daniel Brinkman","R",2005,21.64,63851,110696,79,79,"0","0"
70,"Representative General Assembly 46th District - D","Deb Conroy","D",1762,100.00,57802,110696,75,75,"0","0"
71,"Representative General Assembly 46th District - R","Heidi Holan","R",5200,100.00,57802,110696,75,75,"0","0"
72,"Representative General Assembly 47th District - R*","Patricia R. ""Patti"" Bellock","R",11193,100.00,70230,110696,114,114,"0","0"
73,"Representative General Assembly 48th District - R","Sandra M. Pihos","R",6255,43.20,73415,110696,103,103,"0","0"
74,"Representative General Assembly 48th District - R","Peter Breen","R",8223,56.80,73415,110696,103,103,"0","0"
75,"Representative General Assembly 49th District - R*","Mike Fortner","R",2060,100.00,21120,110696,28,28,"0","0"
76,"Representative General Assembly 56th District - D*","Michelle Mussman","D",446,100.00,11975,110696,14,14,"0","0"
77,"Representative General Assembly 56th District - R*","Jim Moynihan","R",1178,100.00,11975,110696,14,14,"0","0"
78,"Representative General Assembly 77th District - D*","Antonio ""Tony"" Favela","D",124,14.50,19540,110696,28,28,"0","0"
79,"Representative General Assembly 77th District - D*","Kathleen Willis","D",731,85.50,19540,110696,28,28,"0","0"
80,"Representative General Assembly 81st District - R*","Ron Sandack","R",6559,50.42,72080,110696,97,97,"0","0"
81,"Representative General Assembly 81st District - R*","Keith R. Matune","R",6451,49.58,72080,110696,97,97,"0","0"
82,"Representative General Assembly 82nd District - R*","Jim Durkin","R",3784,100.00,27152,110696,35,35,"0","0"
83,"Representative General Assembly 84th District - D*","Stephanie A. Kifowit","D",544,100.00,23985,110696,26,26,"0","0"
84,"Representative General Assembly 84th District - R*","Krishna Bansal","R",1387,100.00,23985,110696,26,26,"0","0"
85,"Representative General Assembly 85th District - D*","Emily McAsey","D",267,100.00,10728,110696,13,13,"0","0"
86,"DuPage County Regional Superintendent of Schools - R*","Darlene J. Ruscitti","R",70460,100.00,549843,110696,731,731,"0","0"
87,"Kane County Regional Superintendent of Schools - R*","Patricia A. Dal Santo","R",2775,100.00,26894,110696,33,33,"0","0"
88,"County Board Chairman - R","Dan Cronin","R",75251,100.00,576737,110696,756,756,"0","0"
89,"Sheriff - D","Mike Quiroz","D",13459,100.00,576737,110696,756,756,"0","0"
90,"Sheriff - R","John E. Zaruba","R",73515,100.00,576737,110696,756,756,"0","0"
91,"County Clerk - D","Marilyn Kroll","D",6,0.04,576737,110696,756,756,"0","0"
92,"County Clerk - D","Jean Kaczmarek","D",13584,99.96,576737,110696,756,756,"0","0"
93,"County Clerk - R","Paul Hinds","R",72054,100.00,576737,110696,756,756,"0","0"
94,"County Treasurer - R","Gwen Henry","R",73816,100.00,576737,110696,756,756,"0","0"
95,"County Board Member District 1, 4 Year Term - R","Paul Fichtner","R",10771,100.00,85849,110696,117,117,"0","0"
96,"County Board Member District 2, 4 Year Term - R","Peter ""Pete"" DiCianni","R",13889,100.00,103485,110696,160,160,"0","0"
97,"County Board Member District 3, 4 Year Term - D","Pamela Miles","D",2121,100.00,102204,110696,135,135,"0","0"
98,"County Board Member District 3, 4 Year Term - R","John Curran","R",14060,100.00,102204,110696,135,135,"0","0"
99,"County Board Member District 4, 4 Year Term - D","Jeremy R. Custer","D",1570,58.98,95773,110696,134,134,"0","0"
100,"County Board Member District 4, 4 Year Term - D","M. Moon Khan","D",1092,41.02,95773,110696,134,134,"0","0"
101,"County Board Member District 4, 4 Year Term - R","Ronald A. Almiron","R",1314,8.92,95773,110696,134,134,"0","0"
102,"County Board Member District 4, 4 Year Term - R","Paula McGowen","R",4636,31.48,95773,110696,134,134,"0","0"
103,"County Board Member District 4, 4 Year Term - R","Grant Eckhoff","R",8776,59.60,95773,110696,134,134,"0","0"
104,"County Board Member District 5, 4 Year Term - R","Tonia Jane Khouri","R",10127,100.00,98097,110696,116,116,"0","0"
105,"County Board Member District 6, 4 Year Term - D","Lauren ""Laurie"" Nowak","D",1858,100.00,91329,110696,110,110,"0","0"
106,"County Board Member District 6, 4 Year Term - R","Valerie Ann Bruggeman","R",3709,33.03,91329,110696,110,110,"0","0"
107,"County Board Member District 6, 4 Year Term - R","Erica Lynne Sutton","R",2060,18.34,91329,110696,110,110,"0","0"
108,"County Board Member District 6, 4 Year Term - R","Kevin R. Wiley","R",5461,48.63,91329,110696,110,110,"0","0"
109,"DuPage County Forest Preserve President - R","Joseph F. Cantore","R",52673,64.47,576737,110696,756,756,"0","0"
110,"DuPage County Forest Preserve President - R","Mary Lou Wehrli","R",29025,35.53,576737,110696,756,756,"0","0"
111,"DuPage County Forest Preserve Commissioner, District 1 - D","Evan Wolfe","D",2572,100.00,85849,110696,117,117,"0","0"
112,"DuPage County Forest Preserve Commissioner, District 1 - R","Marsha Murphy","R",10563,100.00,85849,110696,117,117,"0","0"
113,"DuPage County Forest Preserve Commissioner, District 3 - R","Linda J. Painter","R",13917,100.00,102204,110696,135,135,"0","0"
114,"DuPage County Forest Preserve Commissioner, District 6 - D","Shannon M. Burns","D",1865,100.00,91329,110696,110,110,"0","0"
115,"DuPage County Forest Preserve Commissioner, District 6 - R","Al Murphy","R",10330,100.00,91329,110696,110,110,"0","0"
116,"Judge of the Appellate Court, 2nd Judicial District - R (Bowman)","Michael J. Burke","R",71408,100.00,576737,110696,756,756,"0","0"
117,"Judge of the Circuit Court, 18th Judicial Circuit - R (Fawell)","Bob Kleeman","R",41631,54.88,576737,110696,756,756,"0","0"
118,"Judge of the Circuit Court, 18th Judicial Circuit - R (Fawell)","Neal Cerne","R",34233,45.12,576737,110696,756,756,"0","0"
119,"Precinct Committeeman WYN 003 - D","Laura Fletcher","D",14,100.00,1267,110696,1,1,"0","0"
120,"Precinct Committeeman WYN 006 - D","Lauren ""Laurie"" Nowak","D",14,100.00,1164,110696,1,1,"0","0"
121,"Precinct Committeeman WYN 007 - D","Jon Ramzan","D",31,100.00,1000,110696,1,1,"0","0"
122,"Precinct Committeeman WYN 009 - D","Kathleen V. Carrier","D",17,100.00,1058,110696,1,1,"0","0"
123,"Precinct Committeeman WYN 012 - D","Dave Barry","D",11,100.00,830,110696,1,1,"0","0"
124,"Precinct Committeeman WYN 015 - D","Patricia Johnson","D",21,100.00,1035,110696,1,1,"0","0"
125,"Precinct Committeeman WYN 016 - D","S.K. Anwar","D",47,100.00,1130,110696,1,1,"0","0"
126,"Precinct Committeeman WYN 020 - D","Shabbir Ahmad Farooqi","D",8,100.00,788,110696,1,1,"0","0"
127,"Precinct Committeeman WYN 025 - D","Nasir Jahangir","D",26,100.00,931,110696,1,1,"0","0"
128,"Precinct Committeeman WYN 030 - D","Jim Bryant","D",11,100.00,1050,110696,1,1,"0","0"
129,"Precinct Committeeman WYN 031 - D","Makhdoom Mohiuddin","D",30,100.00,942,110696,1,1,"0","0"
130,"Precinct Committeeman WYN 032 - D","Lynn DeSmidt","D",13,100.00,644,110696,1,1,"0","0"
131,"Precinct Committeeman WYN 038 - D","Ted Lonis","D",14,100.00,1057,110696,1,1,"0","0"
132,"Precinct Committeeman BLM 004 - D","Stephan H. Stawnyczy","D",17,100.00,1187,110696,1,1,"0","0"
133,"Precinct Committeeman BLM 006 - D","Harcharn Singh","D",25,100.00,719,110696,1,1,"0","0"
134,"Precinct Committeeman BLM 013 - D","Rose Fitzpatrick","D",14,100.00,640,110696,1,1,"0","0"
135,"Precinct Committeeman BLM 014 - D","Pete Null","D",31,100.00,800,110696,1,1,"0","0"
136,"Precinct Committeeman BLM 015 - D","Tom Suhrbur","D",42,100.00,1111,110696,1,1,"0","0"
137,"Precinct Committeeman BLM 019 - D","John Spinelli","D",23,100.00,886,110696,1,1,"0","0"
138,"Precinct Committeeman BLM 020 - D","Deborah DeChinistso","D",41,100.00,882,110696,1,1,"0","0"
139,"Precinct Committeeman BLM 021 - D","James Wilmot","D",12,100.00,610,110696,1,1,"0","0"
140,"Precinct Committeeman BLM 022 - D","Mohammed Mortoja","D",38,100.00,1029,110696,1,1,"0","0"
141,"Precinct Committeeman BLM 023 - D","Syed H. Bukhari","D",26,100.00,918,110696,1,1,"0","0"
142,"Precinct Committeeman BLM 024 - D","Michael Murray","D",64,100.00,940,110696,1,1,"0","0"
143,"Precinct Committeeman BLM 028 - D","Nirmal Bawa","D",37,100.00,1107,110696,1,1,"0","0"
144,"Precinct Committeeman BLM 032 - D","Carol A. Escorcia","D",28,100.00,660,110696,1,1,"0","0"
145,"Precinct Committeeman BLM 034 - D","Florencio Villegas","D",21,100.00,1047,110696,1,1,"0","0"
